property_type,society,sector,price,price_per_sq_ft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,ss the leaf,sector 85,2.0,11869.0,3.0,4.0,3,5.0,Relatively New,2026.0,0.0,1.0,0.0,0.0,0.0,1.0,156.0,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,the close north,sector 50,2.75,12500.0,3.0,3.0,3,3.0,Moderately Old,2400.0,0.0,1.0,0.0,0.0,0.0,1.0,110.0,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,ats tourmaline,sector 109,2.25,8704.0,3.0,4.0,3,14.0,Relatively New,2339.0,0.0,1.0,0.0,0.0,0.0,1.0,101.0,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,apna enclave,sector 3,0.58,6105.0,2.0,2.0,2,2.0,Old Property,900.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,conscient habitat,sector 99a,0.35,6422.0,2.0,2.0,1,3.0,Relatively New,606.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,"28.4561° N, 76.9542° E",28.4561,76.9542
flat,emaar gurgaon greens,sector 102,1.4,8484.0,3.0,3.0,3,9.0,Relatively New,1413.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,dlf the ultima,sector 81,2.4,11412.0,3.0,3.0,3+,12.0,Relatively New,1650.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,emaar the palm drive,sector 66,3.9,18636.0,3.0,4.0,3,2.0,Relatively New,2200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"28.3925° N, 77.0541° E",28.3925,77.0541
house,independent,sector 21,0.45,8411.0,3.0,2.0,1,1.0,Old Property,594.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"28.5134° N, 77.0723° E",28.5134,77.0723
flat,ss,sector 85,1.98,8222.0,3.0,4.0,3,6.0,Relatively New,2300.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,paras dews,sector 106,0.95,6859.0,2.0,2.0,3+,2.0,Relatively New,940.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,dhoot time residency,sector 63,3.0,18271.0,3.0,3.0,3+,14.0,Relatively New,1641.9462536259646,0.0,1.0,0.0,0.0,0.0,2.0,0.0,"28.3971° N, 77.0867° E",28.3971,77.0867
flat,orris aster court premier,sector 85,1.73,6757.0,4.0,5.0,3+,8.0,Relatively New,2017.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,birla navya,sector 63a,2.1,16666.0,2.0,2.0,2,2.0,Under Construction,1400.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,"28.3923° N, 77.0888° E",28.3923,77.0888
flat,satya element one,sector 49,0.94,14009.0,1.0,2.0,2,2.0,Moderately Old,746.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"28.4121° N, 77.0480° E",28.4121,77.048
flat,puri emerald bay,sector 104,2.49,10163.0,3.0,3.0,3+,14.0,Relatively New,2217.0,0.0,1.0,0.0,0.0,0.0,2.0,129.0,"28.4788° N, 76.9960° E",28.4788,76.996
house,independent,sector 82,7.5,23148.0,5.0,5.0,3+,2.0,Relatively New,3240.0,0.0,1.0,0.0,1.0,0.0,2.0,135.0,"28.3935° N, 76.9600° E",28.3935,76.96
flat,ats kocoon,sector 109,2.22,10596.0,3.0,3.0,3,20.0,Relatively New,1896.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,ats kocoon,sector 109,1.7,9742.0,3.0,3.0,3,22.0,Relatively New,1550.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,vatika gurgaon,sector 83,1.4,7179.0,4.0,4.0,3,10.0,Relatively New,2167.0,0.0,1.0,0.0,0.0,0.0,1.0,35.0,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,ss the leaf,sector 85,1.87,7780.0,3.0,4.0,3,7.0,Relatively New,2225.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,"28.4042° N, 76.9513° E",28.4042,76.9513
house,independent,sector 41,9.0,27778.0,8.0,5.0,3+,3.0,Old Property,3240.0,0.0,1.0,1.0,1.0,0.0,2.0,26.0,"28.4557° N, 77.0632° E",28.4557,77.0632
house,independent,sector 3,0.37,7923.0,1.0,1.0,1,1.0,Relatively New,480.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,dlf the skycourt,sector 86,1.5,9740.0,3.0,3.0,3+,18.0,Relatively New,1780.0,1.0,0.0,0.0,0.0,0.0,1.0,174.0,"28.3986° N, 76.9384° E",28.3986,76.9384
house,unitech uniworld resorts,sector 33,9.55,19293.0,6.0,7.0,3+,2.0,Relatively New,4950.0,1.0,1.0,1.0,1.0,0.0,2.0,126.0,"28.4420° N, 77.0207° E",28.442,77.0207
